Sr No,Car,Model,Volume,Weight,CO2
1,Toyota,Aygo,1000,790,99
2,Mitsubishi,Space Star,1200,1160,95
3,Skoda,Citigo,1000,929,95
4,Fiat,500,900,865,90
5,Mini,Cooper,1500,1140,105
6,VW,Up!,1000,929,105
7,Skoda,Fabia,1400,1109,90
8,Mercedes,A-Class,1500,1365,92
9,Ford,Fiesta,1500,1112,98
10,Audi,A1,1600,1150,99
11,Hyundai,I20,1100,980,99
12,Suzuki,Swift,1300,990,101
13,Ford,Fiesta,1000,1112,99
14,Hond,Civic,1600,1252,94
15,Hundai,I30,1600,1326,97
16,Opel,Astra,1600,1330,97
17,BMW,1,1600,1365,99
18,Mazda,3,2200,1280,104
19,Skoda,Rapid,1600,1119,104
20,Ford,Focus,2000,1328,105
21,Ford,Mondeo,1600,1584,94
22,Opel,Insignia,2000,1428,99
23,Mercedes,C-Class,2100,1365,99
24,Skoda,Octavia,1600,1415,99
25,Volvo,S60,2000,1415,99
26,Mercedes,CLA,1500,1465,102
27,Audi,A4,2000,1490,104
28,Audi,A6,2000,1725,114
29,Volvo,V70,1600,1523,109
30,BMW,5,2000,1705,114
31,Mercedes,E-Class,2100,1605,115
32,Volvo,XC70,2000,1746,117
33,Ford,B-Max,1600,1235,104
34,BMW,2,1600,1390,108
35,Opel,Zafira,1600,1405,109
36,Mercedes,SLK,2500,1395,120
